station,latitude,longitude
Nöldnerplatz,52.503460834606464,13.484363086505503
Grunewald,52.48856103074731,13.261822326549895
Griebnitzsee,52.39448484474475,13.127909957670331
Babelsberg,52.3914136314503,13.093252915340665
Potsdam Hbf,52.391647811675185,13.0668816
Wildau,52.31902300298271,13.633548252703147
Zeuthen,52.34925958649189,13.626949813494496
Eichwalde,52.37168407242158,13.615099042329666
Grünau,52.349272693835026,13.626981999999998
Adlershof,52.43556961130455,13.540456646022006
Johannisthal,52.44648345566045,13.524323871164835
Schöneweide,52.45508893481239,13.509472601846172
Baumschulenweg,52.46761604028127,13.489752161362672
Plänterwald,52.478650594883035,13.473531982813162
Treptower Park,52.493807137231016,13.461873744175834
Storkower Straße,52.52377101399425,13.464643815340665
Landsberger Allee,52.52916638258378,13.455117386505506
Greifswalder Straße,52.54050140356382,13.438284898153828
Prenzlauer Allee,52.54514430987409,13.427571030681337
Bornholmer Straße,52.554592765374025,13.397943580527892
Pankow-Heinersdorf,52.57719762114383,13.427953644175833
Blankenburg,52.59096084111001,13.442975515340668
Mühlenbeck-Mönchmühle,52.6545984458447,13.386826103692337
Schönfließ,52.66471713979447,13.339880399999998
Bergfelde,52.669885551962345,13.32151352641768
Hohen Neuendorf,52.669526143601445,13.287113001274848
Birkenwerder,52.68804939914562,13.2889350700222
Flughafen BER,52.36424031606423,13.50914308523057
Waßmannsdorf,52.36831769180312,13.463669592827632
Schönefeld (bei Berlin),52.39088510381993,13.513962169318663
Grünbergallee,52.39906018057098,13.540339999999999
Altglienicke,52.40769187250315,13.5594176
